hour,is_peak,elec,solar
16,1,9.61115,0.30853505875000004
17,1,10.30655,0.17518781300000003
18,1,10.4155,0.049353089
19,1,10.2751,0
20,0,9.591,0
21,0,6.6043,0
22,0,4.7654,0
23,0,2.79735,0
0,0,2.3828,0
1,0,1.76415,0
2,0,1.23595,0
3,0,1.3426,0
4,0,1.1469,0
5,0,1.3616,0
6,0,1.98145,0
7,0,1.46355,0
8,0,2.08755,0
9,0,3.80135,0.037249582249999996
10,0,5.3407,0.096723706
11,0,8.8841,0.221410684
12,0,9.1837,0.2903798
13,0,9.32745,0.434787145
14,0,8.9499,0.33128130199999994
15,1,9.62925,0.211707012
16,1,8.98625,0.17153589325000002
17,1,10.4782,0.098393156
18,1,9.1908,0.024311353
19,1,7.82905,0
20,0,6.8751,0
21,0,5.77165,0
22,0,4.82765,0
23,0,3.23145,0
0,0,1.5556,0.000313022
1,0,1.26495,0
2,0,1.7818,0
3,0,1.4121,0
4,0,1.7583,0
5,0,2.83535,0
6,0,5.254,0
7,0,6.6924,0
8,0,7.87745,0
9,0,9.3666,0.015859766
10,0,9.40225,0.10454924874999999
11,0,9.20265,0.197934057
12,0,9.75645,0.168927379
13,0,9.59805,0.148372287
14,0,9.3751,0.205968281
15,1,8.92575,0.170596828
16,1,6.9515,0.066986645
17,1,6.73255,0.048831385500000005
18,1,6.11995,0.017216194
19,1,5.7281,0
20,0,5.15375,0
21,0,4.7976,0
22,0,2.73405,0.000626044
23,0,1.68045,0.000313022
0,0,1.5722,0
1,0,1.27725,0
2,0,1.8032,0
3,0,1.4198,0
4,0,1.84455,0
5,0,2.9027,0
6,0,5.1843,0
7,0,6.5852,0
8,0,7.7621,0.000313022
9,0,9.3292,0.015964106750000002
10,0,9.3929,0.055926544
11,0,9.2028,0.076168615
12,0,9.7556,0.099749583
13,0,9.4115,0.11018363924999999
14,0,9.5605,0.18228297175000002
15,1,8.92915,0.101210351
16,1,6.7441,0.120617696
17,1,6.9518,0.081907346
18,1,6.34085,0.028380634750000005
19,1,5.5177,0
20,0,5.199,0
21,0,4.55735,0
22,0,3.45575,0
23,0,1.9217,0
0,0,1.4515,0
1,0,1.3769,0
2,0,1.49115,0
3,0,1.74935,0
4,0,2.58255,0
5,0,3.2482,0
6,0,5.10685,0
7,0,6.2741,0
8,0,8.13315,0
9,0,8.5071,0.02754591
10,0,8.896,0.064586811
11,0,9.11145,0.113000835
12,0,8.7781,0.25573873124999996
13,0,9.1802,0.35611435724999996
14,0,9.01385,0.376669449
15,1,9.0193,0.414753756
16,1,6.5784,0.32084724524999997
17,1,7.4039,0.20586394
18,1,6.47695,0.072621035
19,1,6.1635,0.001460768
20,0,5.6143,0
21,0,4.95675,0
22,0,3.2195,0
23,0,1.8098,0
0,0,1.5514,0
1,0,1.2784,0
2,0,1.5878,0
3,0,1.4358,0
4,0,2.1402,0
5,0,2.9761,0
6,0,5.27975,0
7,0,6.29655,0
8,0,8.10095,0
9,0,9.3719,0.013042571
10,0,9.1692,0.118322204
11,0,9.43295,0.284015025
12,0,9.7541,0.42362270449999995
13,0,9.41125,0.490922371
14,0,9.56035,0.49853923199999994
15,1,8.9093,0.464211185
16,1,6.74885,0.37969532575000003
17,1,6.95205,0.213793823
18,1,6.11825,0.057909015
19,1,5.725,0.001669449
20,0,5.2375,0
21,0,4.4958,0
22,0,2.73635,0
23,0,1.89805,0
0,0,1.5724,0
1,0,1.281,0
2,0,1.57105,0
3,0,1.4319,0
4,0,2.13905,0
5,0,2.9919,0
6,0,5.31665,0
7,0,6.34705,0
8,0,8.22635,0
9,0,9.30515,0.016798832
10,0,9.27705,0.119782972
11,0,9.50745,0.255217029
12,0,9.80665,0.353297162
13,0,9.49385,0.47161936574999996
14,0,9.66015,0.491965776
15,1,9.12405,0.461080968
16,1,6.69955,0.37865192
17,1,7.4819,0.238209516
18,1,6.84695,0.075959933
19,1,5.6373,0.000313022
20,0,5.4693,0
21,0,4.43565,0
22,0,3.2895,0
23,0,2.1307,0
0,0,1.79975,0
1,0,1.38835,0
2,0,1.4903,0
3,0,1.2181,0
4,0,1.5411,0
5,0,1.85095,0
6,0,2.2449,0
7,0,3.58795,0
8,0,5.53935,0.000313022
9,0,8.40175,0.019198665
10,0,8.39905,0.126252087
11,0,9.0201,0.28797996675000004
12,0,9.20455,0.426648581
13,0,9.53345,0.49342654425000004
14,0,9.15505,0.500521703
15,1,9.41475,0.473914858
16,1,9.7343,0.390546745
17,1,10.27015,0.233096828
18,1,10.33055,0.073142738
19,1,9.98735,0.001043406
20,0,9.53915,0
21,0,6.7912,0
22,0,4.42855,0
23,0,3.23665,0
0,0,2.38175,0
1,0,1.54925,0
2,0,1.23565,0
3,0,1.1414,0
4,0,1.18625,0
5,0,2.05845,0
6,0,1.577,0
7,0,1.3284,0
8,0,2.12965,0
9,0,3.8948,0.034223706
10,0,6.25265,0.125834725
11,0,8.4554,0.290171119
12,0,9.1704,0.43760434075000004
13,0,9.29775,0.5051126877500001
14,0,9.14005,0.51460768
15,1,9.3763,0.482992488
16,1,9.18955,0.39138146924999995
17,1,10.2408,0.24342654425000004
18,1,9.3738,0.076377296
19,1,7.72755,0.000626044
20,0,6.8751,0
21,0,5.9944,0
22,0,4.6055,0
23,0,3.2316,0
0,0,1.5517,0.000313022
1,0,1.4844,0
