net_load,renewables,renewables_to_load_ratio,load.load
23166.08333,7732.083333,0.288664268,26789.83333
21975.41667,7941.333333,0.307335391,25841.75
20996.91667,7393.333333,0.303076976,24389.33333
19660.75,6863.083333,0.299185592,22944.41667
18828.91667,6720.75,0.305353128,22010.66667
18184.83333,6571.833333,0.309416645,21240.33333
17786.08333,6426.166667,0.310609883,20687.75
18073.91667,6028.416667,0.292995435,20575.25
18649.83333,5901.083333,0.280895666,21011.08333
20094.75,5847.916667,0.261957712,22336.08333
22603.33333,5716.75,0.231731664,24691.25
23241.33333,6775.5,0.257071349,26348.66667
20469.25,9711.916667,0.365875744,26540.08333
18192.91667,11750.33333,0.444806374,26430.75
17078.33333,12287.91667,0.479751524,25617.5
16984,11653.58333,0.468824123,24855.08333
16730.66667,11646.58333,0.474953896,24520.91667
17208.41667,11087.25,0.453993056,24419.91667
17603.83333,10884.41667,0.442656956,24597.41667
20073.66667,9417.833333,0.369942077,25485.08333
23675.41667,7171.083333,0.268799628,26707.16667
26006.83333,6896.916667,0.242805402,28403.75
26246.33333,6985.75,0.244043939,28624.75
25840.5,7067.75,0.251147084,28144.83333
24931.66667,7208,0.262694026,27439.83333
24271.16667,6793.25,0.255729467,26564.08333
22675.75,6831.333333,0.272777219,25052.5
21385.08333,6385.416667,0.270198984,23625.41667
20599.08333,5898,0.259465517,22730.08333
19887.91667,5830.166667,0.264981307,22003.66667
19546.33333,5544.833333,0.258823799,21422.5
19251.83333,4994.833333,0.239125066,20880.75
19622.08333,4662.5,0.222162516,20990.91667
20768.16667,5107.416667,0.231624026,22037.33333
22856.33333,5641.166667,0.232993102,24226.75
22716.83333,7026.416667,0.275318382,25524.33333
18259.33333,10957.83333,0.441365058,24852.58333
14997.33333,12940.41667,0.545426574,23742.08333
12619.58333,13463.33333,0.607171954,22185
11316.33333,13733.5,0.644917281,21294.91667
11493.75,12879.16667,0.617375251,20860.25
12722,11423.58333,0.543061521,21041.08333
14493.66667,10471.5,0.485904825,21560.41667
18749.58333,8081.583333,0.354606485,22834.66667
22942,5910.5,0.243668921,24308.83333
25714,4899.75,0.186064919,26350.66667
26118.91667,5154.25,0.192011865,26844.25
25491.75,5638,0.214742934,26259.08333
24905.33333,5373.833333,0.209605171,25634.91667
24117.16667,5165.083333,0.207547255,24882.08333
22466.66667,4869,0.207633129,23453.16667
20840.33333,4678.166667,0.212691661,22001
19779.83333,4566,0.217386717,21008.25
18927.91667,4658.166667,0.230029921,20253.33333
18423.5,4708.583333,0.237454775,19830.25
18285.08333,4710.833333,0.239143713,19698.83333
18717.91667,4751.916667,0.23626975,20112.33333
19905.66667,4976.916667,0.233466089,21314.25
21938.75,5521.583333,0.235925206,23411.58333
22474.58333,6645.5,0.265963898,24976
19579.08333,8930.916667,0.360438902,24788.41667
17018.58333,10993.58333,0.451444903,24363.33333
15272.5,12121.83333,0.508981348,23815.33333
15741.33333,11333.25,0.480704516,23576.91667
15515.91667,11331.33333,0.48355305,23434.83333
15700.91667,10856.58333,0.469875683,23105.08333
17157,9648,0.414826618,23263.66667
19481.16667,7884.833333,0.333927676,23633
22588.5,6134.333333,0.249633007,24607.66667
25095.08333,5595.75,0.211482781,26466.25
25147.16667,5703.166667,0.214906629,26540
24536.41667,5995.833333,0.230429189,26024.41667
23871.91667,5915.25,0.23303861,25381.58333
23170.5,5905.416667,0.239015339,24709.58333
21714.5,5993.583333,0.256481113,23382.58333
20317.5,5803.166667,0.262889043,22072.41667
19243.08333,5474.666667,0.259812433,21069.75
18228.5,5501.083333,0.271904242,20236.83333
17307.16667,5666.583333,0.29048531,19511.33333
16838.83333,5670.166667,0.296728303,19107.75
17075.41667,5532.75,0.28856256,19171.41667
17262.66667,5991.25,0.304629853,19666.16667
17948.58333,6120.166667,0.298446118,20506.25
18285.25,6565.416667,0.309988587,21177.75
18885.08333,6896.333333,0.310474844,22212.25
19212.91667,7368.833333,0.320542899,22987.83333
19093.91667,7682,0.328579474,23379.08333
18617.5,8042.166667,0.34387571,23386.83333
18703.66667,7995.5,0.341241867,23429.83333
18946.83333,8255.083333,0.34502708,23927.08333
19442.41667,7776,0.325142444,23917.16667
20557.16667,7333.416667,0.304197554,24106.75
21921.08333,6950.833333,0.282773464,24586.58333
23165.25,7173.5,0.277655621,25835.83333
22824.5,7498.916667,0.29106012,25765.91667
22541.66667,7487.666667,0.294187157,25453.5
21866,7332.166667,0.294886204,24865.25
20990.25,7426.583333,0.309556648,23994.75
19682.33333,7547.083333,0.32983835,22890.5
18259.58333,7577.75,0.349884494,21660.66667
17280.16667,7232.083333,0.349486858,20698.25
16441.25,6851.333333,0.345327604,19845.75
15347.58333,7305.166667,0.379365717,19259.66667
15028.66667,7186.5,0.379565788,18933.25
15015.83333,6938.25,0.366332953,18939.91667
15429.66667,6994.75,0.363523088,19240.91667
15781.75,7428.333333,0.37232718,19950.16667
16120.16667,7943.833333,0.38697033,20527.08333
16171,8586.583333,0.405082065,21195.83333
15444,9441.916667,0.441437553,21393.16667
13289.91667,11122.91667,0.529837691,20999.41667
12571.33333,11366.41667,0.550987364,20628.66667
13570.66667,10715.16667,0.511663325,20945.91667
15276.75,9905,0.454274066,21817.58333
17891.41667,8233.416667,0.362154167,22751.66667
19823.91667,7431,0.31678461,23466.5
21341.91667,7043.083333,0.290665019,24237.08333
23193.91667,6870.916667,0.266119645,25819.91667
23418.25,7059.833333,0.271698767,25984.5
22833.91667,7267.416667,0.285295265,25477.58333
22151.33333,7542.666667,0.30226113,24955.41667
21241.58333,7864.666667,0.324728247,24225.41667
20150.66667,7653.25,0.332538121,23018.91667
18673.16667,7453.166667,0.344964797,21604.08333
17591.08333,6917.333333,0.332756464,20790
16484.66667,6871.333333,0.343390768,20014.08333
15804.16667,7110.5,0.361975516,19645.16667
15425.08333,7267,0.373317053,19466
16230.41667,6883.166667,0.347009397,19839.25
